cell_num,sol,cmp,ecc,cellSize,vicinity
1,0.88872225554889,0.609220223085815,0.788183186839301,2963,959.371048435868
2,0.854321907600596,0.600909378832615,0.550725580572409,2293,886.068311495595
3,0.828296101620675,0.54051542165232,0.66498045724068,1891,548.92780222803
4,0.864374034003091,0.618607994851634,0.629689869592836,2237,2259.33008742026
5,0.881572714353387,0.696293651099537,0.626403134567289,1861,1809.90573743207
6,0.84418901660281,0.663023426713235,0.735450838578774,1322,2012.84626205336
7,0.947407407407407,0.892432498137963,0.636316795125086,1279,85.6686501373256
8,0.853960396039604,0.672992769190267,0.374116629181786,1725,1211.92750975809
9,0.906001765225066,0.719083374932198,0.762935902545427,2053,599.772418501451
10,0.935193519351935,0.768976628433208,0.809359213800084,2078,3942.19478908753
11,0.857289002557545,0.649309309862811,0.57150845460758,1676,891.234096830223
12,0.903211216644052,0.723933294338706,0.476039586909783,1997,1125.8296432112
13,0.851748807631161,0.614009353254883,0.698128839955219,2143,455.233737926881
14,0.873384030418251,0.616835670355458,0.57443570982779,2297,1065.04625957229
15,0.904132791327913,0.71629528432335,0.719392372377624,2669,2397.27530075033
16,0.848256361922714,0.591001012090777,0.479319049344766,3600,71.8269824581912
17,0.898452611218569,0.761775759469222,0.609381719570118,1858,2704.55469515627
18,0.802309468822171,0.531468943842385,0.579768585212628,1737,414.375229052141
19,0.942498347653668,0.842373336970404,0.675194924229384,1426,349.364082621446
20,0.827978250123579,0.503125889251429,0.919586685360924,1675,2133.68317884961
21,0.915598290598291,0.796627585493425,0.506599466288731,857,2439.58846021662
22,0.840759075907591,0.634771995306954,0.608929203470533,1019,3044.23877500694
23,0.914721723518851,0.795096307893129,0.476044167771558,1019,2266.47339608288
24,0.953989935298347,0.93003688423815,0.546834335586904,1327,2102.27245225941
25,0.816097809475293,0.579496022893012,0.599922403566742,1602,177.324643400337
26,0.682002022244692,0.367279103526299,0.846614841032951,2698,469.462781433351
27,0.886251236399604,0.751733895987093,0.343779971295288,1792,561.012223689623
28,0.859247967479675,0.601194048467643,0.684250814038865,1691,536.798643954395
29,0.874233128834356,0.70196992447037,0.596314277731404,1710,41.5124090236257
30,0.913529411764706,0.812480961663299,0.477180846544083,1553,675.178583424107
31,0.853409090909091,0.618095196983642,0.798837158190259,1502,39.6080275544185
32,0.903569772832638,0.631914336617085,0.787374157689633,1949,443.791127463895
33,0.87719298245614,0.652397098366369,0.696655097316838,1750,591.602445273599
34,0.841304347826087,0.609213533847409,0.785418356575457,1161,2267.88261014577
35,0.888647474198805,0.72490851302157,0.491768181194046,1636,249.674247587842
36,0.852852852852853,0.637204317705073,0.708865628843732,1704,273.923084606932
37,0.879363449691992,0.676215350298015,0.776996469843759,1713,177.903714461586
38,0.930201342281879,0.795656368028164,0.667907760372286,1386,1601.0826445693
39,0.939123979213066,0.825259051355548,0.646697841869717,1265,3776.902049243
40,0.855255916345625,0.634618266100952,0.634383979574626,1554,397.63407550065
41,0.85668146951958,0.600804755156452,0.862036197972209,2122,450.081146543418
42,0.793316831683168,0.536105419106579,0.725186410932386,1282,3056.19166736135
43,0.807909604519774,0.601268007186907,0.649207563630796,1716,334.947558884446
44,0.895806312148725,0.693589873441353,0.713997374114471,2072,1137.65835436949
45,0.836786255684689,0.66073177403178,0.808499051077674,1656,154.043080982181
46,0.828160484481453,0.514372527901789,0.498323261667641,2188,897.672232682079
47,0.848615916955017,0.599134858581483,0.649998563645658,1962,229.334509656934
48,0.827214684756584,0.499779364373541,0.805483116081891,2073,140.048757292103
49,0.742502142245073,0.451059327741244,0.849200952148021,1733,1882.15130586648
50,0.796683774180813,0.469698858513154,0.83852076224485,2018,576.417124215967
51,0.881933438985737,0.692187131650332,0.646093009130783,1113,1298.15189783485
52,0.853839037927845,0.594917717322885,0.745515962596391,1846,106.117831437424
53,0.853101736972705,0.639467321218749,0.685443177146993,1719,207.056091780795
54,0.888888888888889,0.731575930604941,0.663954980213712,1032,817.55895649614
55,0.851306095110516,0.695038046865741,0.662453838912102,1271,1511.05007231007
56,0.814253647586981,0.540153415276259,0.809031771441953,1451,179.154091431197
57,0.811076373380974,0.543149870732896,0.438092240813094,1816,580.061920894294
58,0.924064768285874,0.816586047861225,0.649434789154757,1655,873.436102044794
59,0.83596837944664,0.566703282957996,0.775026425417822,2115,2187.97348753671
60,0.855054302422724,0.634054860022659,0.483869099418964,2047,614.178291839039
61,0.857686453576865,0.634926313652332,0.422300625190102,1127,48.9860909055594
62,0.876822523881347,0.687681678423983,0.761602402761723,1744,270.621321326773
63,0.915221579961464,0.695417217992902,0.799705864617583,1900,98.359228650138
64,0.802444794952681,0.506225432161919,0.74653163235779,2035,381.410840728759
65,0.77430801987225,0.478943717636787,0.758877157788653,2182,505.517006350316
66,0.875528700906344,0.642934587637076,0.596729765434089,1449,220.960929187153
67,0.758976660682226,0.484850157658287,0.760930562709449,1691,131.841812323015
68,0.838533541341654,0.637842230191355,0.723739903029211,1075,571.868499396668
