,imageName,cluster,ecc,sol,cmp,color,spd,per,cellSize
4,M0,1,0.751976122,0.833750313,0.5188141,g,0.202820814,0.316813679,6665
67,M1,1,0.632404612,0.812357173,0.47671231,g,0.343875355,0.096022018,9598
68,M1,1,0.634400877,0.831561323,0.491537625,g,0.315907498,0.125563532,9933
69,M1,1,0.589555928,0.664911409,0.20861675,g,0.37264664,0.255471393,20077
70,M1,1,0.54780148,0.834805024,0.435728266,g,0.470790657,0.097940174,15221
72,M1,1,0.56719928,0.826991565,0.434477966,g,0.617528385,0.208629543,17648
73,M1,1,0.710176312,0.866784967,0.540972918,g,0.604696061,0.115797874,13677
74,M1,1,0.557601405,0.856752263,0.450864882,g,0.670851225,0.048094476,23188
75,M1,1,0.729975445,0.8136326,0.502122821,g,0.424417588,0.190131417,17690
78,M1,1,0.556134063,0.730570914,0.247637743,g,0.349168415,0.061850395,11760
81,M1,1,0.43893287,0.808841024,0.476039956,g,0.409187932,0.124723243,12918
82,M1,1,0.636285507,0.824857426,0.382129366,g,0.298056722,0.200666163,17501
85,M1,1,0.722493055,0.686179954,0.266868601,g,0.410869373,0.125497637,11241
87,M2,1,0.673328148,0.689262473,0.464135941,g,0.373289594,0.105772216,16523
