cell_num,sol,cmp,ecc,cellSize,vicinity
1,0.815791133253453,0.289408068998405,0.858641548062899,12936,11082.2423658601
2,0.702208682406702,0.212506684278315,0.923572849520935,14752,3692.09681541327
3,0.782575666706649,0.303158204235206,0.859355928048956,19573,9548.46088211676
4,0.850886146422938,0.428610107553477,0.835619937776531,18340,11879.492143096
5,0.751223823769377,0.298213538826126,0.91124833465583,11049,18048.2747343566
6,0.761704089023507,0.274261779763297,0.851794822310473,23136,13704.1523582289
7,0.798602491610353,0.233922105574589,0.967406493670574,17372,7208.00370550086
8,0.722573114043316,0.243332620297806,0.944395094489608,34664,14737.5756815857
9,0.843518772266374,0.423821300055095,0.712871054464435,3078,19974.3663845364
10,0.799926971762415,0.360663995990267,0.816032676191526,32861,18910.6212158168
11,0.899633857419772,0.531054642926327,0.68550948228041,12531,30267.7243486467
12,0.681589425948457,0.325242606816085,0.857769452900875,24649,5448.07624172651
13,0.698520297489929,0.310824825467573,0.957584997561968,18033,5229.57007219312
14,0.644022242817424,0.222564308328691,0.860601061118,13898,6598.34822644852
15,0.741320212295445,0.308372249006991,0.934899022147588,13409,1811.69009909163
16,0.798740192907961,0.330055520215862,0.698465171843625,28404,85683.1696802106
17,0.844879108937789,0.430581726738566,0.883077225024892,3110,1271.61935124927
18,0.720645354048402,0.336709142313442,0.752865142388766,2412,936.072469109801
