Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25
5632,4547,3518,5990,4192,6179,3715,5413,5268,4586,5436,4177,4577,4945,4269,4261,4582,4139,4076,3965,4247,4317,4359,3735,4090
3968,4812,3780,3406,2212,3235,2285,2770,2216,2351,2024,2473,2709,2814,2965,2776,2919,2989,3222,3099,3084,2621,2865,3031,2767
3871,1099,1606,1574,1440,1158,1305,1413,1101,1029,1313,1370,1022,1278,1304,1279,1307,1201,1212,1059,1112,1085,1326,1234,1174
3433,3061,1719,1604,1868,2284,1764,1383,1556,1210,1617,1857,1224,1164,1292,1259,1211,1073,1254,1073,1021,1360,1144,1265,1027
3727,3201,3652,3658,3132,3166,3534,2922,3416,2939,3143,2928,2785,2361,3098,3039,2511,3040,2851,2799,2654,2976,2913,3238,2892
5850,3522,4966,4266,4744,3887,4407,4458,4204,3041,3674,2919,3340,3490,3491,3627,3457,3384,3265,3345,3373,3040,3060,2745,2311
3669,3488,3608,2865,2637,2863,2229,2753,2471,2617,2290,2459,2417,2551,2641,2619,2398,2197,2285,2166,2221,2207,2218,2198,2335
3504,3694,3322,2637,3440,3802,3371,3458,2348,2774,2569,2798,2323,2217,2477,2360,2362,2496,2255,2553,2175,2438,2508,2118,2248
3474,3470,3857,3842,3100,3785,3437,3710,3362,3854,3076,3077,3049,3314,3252,2950,3021,2891,2734,2833,2711,2775,2977,2710,2657
3016,2876,3639,4783,3100,3157,2719,2857,2771,2127,3037,2813,2732,2579,2291,2560,2431,2464,2480,2718,2301,2388,2291,2327,2270
3596,4248,2670,3289,3967,3703,3668,3748,3041,3309,3612,3624,4205,3952,3822,3528,3507,4066,4145,3898,2782,3632,2949,3409,2934
6382,6209,5753,5565,4762,4774,6008,4855,3434,4604,3607,3547,4285,4670,3821,3931,3777,4148,4037,3970,4217,3862,3735,3952,3801
2244,3370,3117,2686,2465,2088,2843,4278,2316,2165,2263,2107,2101,2080,2974,1987,2154,2114,1930,2037,2003,2091,1936,1987,2168
4428,3840,3986,3742,3118,3750,3608,3490,3954,4115,3242,3362,3317,3039,3528,3431,3485,3255,2879,4017,2937,2948,2774,2657,2870
2496,2774,2597,2740,2692,2487,2483,2334,2777,2544,2375,2447,1937,2527,2066,2668,2468,2304,2220,2134,2225,2241,2268,2367,2074
4061,3333,2469,2145,2855,2525,1817,2024,2576,2471,2120,2115,2456,2285,2363,2005,2272,2150,2209,2099,1874,2377,1959,2040,1934
3390,6177,3141,4356,3430,3075,3972,3168,11225,10103,10348,2696,3979,8739,9693,3121,3175,6971,2852,6991,3166,3259,3218,3879,3079
6693,5334,5190,5739,4949,4641,4905,4115,5654,3997,3910,8104,7439,3455,2990,8826,2999,4312,2745,3561,7569,2516,2600,7312,2453
5852,4210,3477,3802,3957,4161,3304,4109,3827,4082,3811,3606,3309,3872,3850,3104,3521,3209,3572,3695,3200,3615,3365,3069,3416
6014,3925,4795,3222,3211,2517,2932,2590,3260,3463,2872,3069,3161,2829,3255,3074,2881,3049,2696,3195,3308,3442,3149,2971,3602
