Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25
81.169140625,98.2110760741033,81.1392824841724,75.0288881424253,77.9334783960211,73.2233825776872,64.575889220744,53.5188916876574,67.2365833674723,55.6056176554887,60.5040811278753,52.1786279683377,57.1003675431156,51.7679572083546,65.9675909878683,60.2673503458144,57.0154704539691,54.8342011510003,48.3882636655949,52.1831301318736,40.6631057842626,47.0714784633295,44.3424974306269,46.836820083682,47.4565296471444
390.163507870222,384.040087463557,387.6981246219,378.214073634204,382.973328714929,375.534213362069,373.467519353753,370.103157236636,370.218700475436,369.623901581722,369.953268428373,369.872968580715,368.671982987772,363.78963165075,358.337379868488,357.261222125688,350.963418119463,355.094011976048,353.678194607268,353.527472527473,351.656411818459,350.190771960958,349.41639451339,349.46848804719,353.684902309059
341.159238521837,319.640943439432,336.090543798553,340.636295556665,332.868924085199,328.439425051335,326.881894873459,318.100173711639,322.448439241918,320.985837922895,317.688293696606,318.239758042343,316.104166666667,311.90306122449,308.969696969697,307.70469988675,309.837244897959,306.738502853306,305.789074355083,302.972490488733,305.187179487179,303.646848989298,306.07557063541,304.294524669073,309.49879848953
248.835152838428,226.200173216412,213.183910891089,249.582921348315,247.024120205615,255.434433541481,255.156052298608,246.012249443207,243.522397891963,240.279336004579,208.376896982682,245.975,207.519446025422,197.841608738828,182.429022988506,199.580799388028,195.040078843627,193.591572722232,205.553580246914,199.583132082482,179.498403483309,194.837495270526,178.692238267148,195.322626262626,196.135903039936
203.745313671582,175.725260416667,168.727272727273,194.014596365803,194.789001122334,195.787990893569,185.355509355509,182.122612787157,173.240983606557,186.729032258065,181.832725060827,193.016429014259,174.46993006993,171.532561505065,183.843653250774,155.31289640592,152.055370246831,170.408602150538,168.322070452912,172.050036791759,180.595394736842,169.899509803922,179.617834394904,154.981765134938,159.765957446808
682.703597580388,673.634088603314,668.875314408911,667.483870967742,670.672453703704,667.458814472671,659.992865636147,658.939948892675,658.235252560933,655.625902012913,650.437542662116,650.575026988125,644.355052264808,647.041991341991,648.383003952569,646.212336892052,645.441137272323,643.107798165138,640.899681528662,640.636216653193,641.24817237399,639.456126162556,640.06927949327,639.178887993554,638.159062369192
188.578622816033,223.486956521739,205.640287769784,179.924404272802,185.769716088328,184.62250365319,201.333333333333,190.542667052358,201.144205558469,188.429318231322,195.009985022466,179.733932461874,203.618169398907,202.623947051745,231.77651319193,186.97419804742,185.033774834437,196.272370486656,198.36189924725,201.336270190896,221.339377217186,197.720930232558,224.226269315673,188.816181689141,196.953911461492
78.6829268292683,83.6434006438396,72.9732369603438,64.5954484605087,75.9621228332977,78.7681365576102,67.6593974820144,63.8249787595582,59.5512246510403,60.1474903474903,59.900464037123,58.759659326963,59.3226982680036,59.0021231422505,57.3667144906743,58.3093577098869,57.5100114416476,55.2934682612696,52.3650234741784,55.3700384122919,56.0811253755804,53.3875802997859,50.9931506849315,55.1576285473448,49.5835992342055
700.371775867181,696.42784952274,699.82566341955,700.568512110727,692.864148201961,686.722376650452,689.828852707308,685.375186846039,682.781960491987,678.639633286319,675.041027351568,678.6202143951,679.665245202559,678.881760537113,673.662358010184,665.192752505783,668.234838709677,675.878177966102,668.065521374351,666.759608411893,668.348739495798,663.885017421603,664.98122253296,665.939103791651,661.759651307597
505.549324129997,546.609494109494,536.999377916019,537.779840848806,551.150565074736,541.439692044483,545.475258918297,510.399014778325,540.879887054735,506.109087953178,504.638392174843,501.441538923956,497.395759145354,503.052776082977,487.680037313433,508.452612612613,499.662835844075,496.61200887199,470.482913444749,489.68496124031,514.821753302453,489.089874277948,498.439738919247,477.718952999618,496.327207351179
559.35196347032,576.578458681523,571.706833594158,568.709569110241,554.417884567748,558.029624960605,557.552834619255,560.655918452257,554.639515314709,554.628949615713,555.464249129277,549.995103494325,551.140044651918,549.648005766458,542.268538135593,542.936807095344,547.693308160269,543.30776033606,534.892857142857,542.088748019017,535.441947565543,539.828403755869,542.842775467775,538.509334076344,522.119893088965
430.182937181664,476.347935866683,479.120140062787,479.992002952756,473.847250755287,461.336138874277,467.813335170134,441.439820583105,462.23371590401,439.306413301663,446.337398373984,440.401996118658,434.816417519014,433.964532871972,440.128910191726,447.281223980017,438.48038147139,436.345107273679,427.309278350515,428.570780141844,441.918153364632,416.809423839515,433.477129553547,422.739627572689,430.019303626195
907.013363754889,947.957911776609,920.849245480353,909.159405940594,887.110910323018,876.937929553265,868.407391209272,874.353018660812,883.772736604393,895.705508089438,906.721911994639,902.758975646498,909.544701583435,900.31986834231,894.201552795031,890.875328947368,888.207366140514,887.641882673943,886.087146702557,884.682066205893,884.903698279019,884.85843373494,887.823178987273,885.990548700446,886.824974411464
613.534197264219,632.135714285714,642.709620991254,642.403225806452,632.871475953566,623.473637961336,628.376154492023,629.442105263158,607.64722417428,606.801945181256,610.460909090909,616.054325955734,609.451043338684,609.498344370861,606.741293532338,606.235379061372,606.744630071599,605.261315115286,600.97265948633,609.957711442786,618.417789757412,597.960767946578,598.549360146252,592.962802768166,593.267059814659
536.148274058577,538.783746556474,539.110732009926,538.423005565863,514.649665285304,507.394386469953,510.793924466338,507.088475836431,503.56162464986,504.826945871197,496.926086956522,496.422688131786,496.031623602005,492.886799276673,514.76231633535,491.94374747066,487.295227097768,488.18210955711,512.6591393268,491.542493448147,487.749665924276,486.544554455446,487.639338235294,509.414757103575,484.059123777116
243.523717595146,287.414471490497,276.799394856278,245.016295025729,286.36525740581,251.967489611342,237.656807307525,115.871104815864,113.64639321075,109.995744680851,108.153409090909,106.601408450704,105.478138222849,104.286713286713,103.057182705718,102.160337552743,100.922005571031,100.144257703081,99.1216783216783,98.1169014084507,164.593789607098,115.661375661376,121.914712153518,96.0806675938804,95.3624823695345
117.5638996139,150.37278308322,174.712832758468,170.33254692789,169.436774329745,165.234596774194,168.933412019278,99.8874458874459,97.1112737920937,95.1913043478261,93.5685425685426,91.8946608946609,90.3367052023121,89.432664756447,87.814121037464,86.8771428571429,86.0504322766571,85.2049062049062,84.6130434782609,83.7678832116788,94.2763480392157,86.7043701799486,88.2808478425435,81.4841040462428,80.8943560057887
432.865630962115,443.923095883658,458.77396804261,447.382671480144,440.964912280702,436.859431186662,432.200601503759,429.263101983003,425.457418496341,425.535541752933,420.002984084881,410.333435207824,420.194653872515,416.03239145417,414.071821305842,414.675276752768,403.806575167571,405.707063197026,411.456686930091,403.085166784954,411.523791102515,401.934844192635,410.764727540501,399.316281971304,414.606531881804
737.221349621873,745.069639919576,745.392702258113,741.681758896963,737.757965343768,735.071206296906,734.691200324412,731.447735191638,728.624760076775,727.595402811872,724.115681770725,724.81772334294,724.874064171123,725.580039348954,720.58683283663,729.617623282134,726.537294826512,726.834427574887,720.768036311515,716.534602076125,716.474038202852,715.896603098927,715.603633114949,715.016333938294,714.842321034374
933.959784560144,937.062447257384,934.884083044983,935.732439335888,952.520720720721,942.379032258065,957.895339329518,956.807692307692,923.687351778656,915.528405201916,892.956417192666,915.132864238411,922.20363797693,923.387973640857,922.179865771812,920.340314136126,949.871096877502,943.074557315937,942.168732125834,940.88847235239,943.256951102589,936.585781990521,944.067796610169,942.890037593985,940.568552253116
