Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25
1187.17808948864,1131.65273806906,1155.68334280841,1188.46427378965,1189.43105916031,1189.61126395857,1180.33728129206,1195.78200628117,1186.53568716781,1205.09005669429,1222.6657468727,1199.94373952598,1203.98929429757,1209.49241658241,1208.62052002811,1203.2405538606,1202.95111305107,1205.01932834018,1202.30716388616,1199.11828499369,1201.16694137038,1201.62636089877,1202.71140169764,1198.06907630522,1200.44278728606
1204.9783266129,1191.6076475478,1190.11931216931,1181.63417498532,1176.25316455696,1173.10973724884,1168.94266958425,1165.00541516245,1163.95036101083,1163.54870267971,1161.40909090909,1160.70279013344,1160.36507936508,1161.89019189765,1159.6347386172,1162.86995677233,1160.22610483042,1160.02542656407,1162.34078212291,1163.1552113585,1162.26718547341,1161.98092331171,1162.19336823735,1163.71923457605,1163.12323816408
1177.07439938001,1186.83621474067,1183.28455790785,1168.1124523507,1164.55694444444,1177.70725388601,1177.55938697318,1165.16065109696,1161.83015440509,1159.52478134111,1164.02894135567,1159.70291970803,1159.71722113503,1152.70970266041,1154.75766871166,1161.7365129007,1154.24177505738,1157.01082431307,1159.30610561056,1156.00661000944,1155.6654676259,1153.62119815668,1153.03016591252,1155.30632090762,1157.19761499148
1237.26187008447,1155.84351519111,1165.80453752182,1136.72443890274,1158.04496788009,1160.98161120841,1164.9433106576,1143.68980477223,1157.83611825193,1143.11983471074,1148.60235003092,1135.94614970382,1146.69199346405,1142.29639175258,1132.00619195046,1145.31930103257,1137.77869529315,1140.6458527493,1143.26794258373,1141.67940354147,1142.3486777669,1140.175,1131.72115384615,1138.88063241107,1140.58422590068
1155.93131204722,1153.50078100594,1135.77354874042,1139.63340623291,1130.72828863346,1143.75552747947,1122.07611771364,1138.29637234771,1138.70433255269,1150.66042871725,1146.89627744193,1133.7537568306,1132.23698384201,1139.08343922067,1134.76856036152,1132.31095755183,1134.70290720828,1125.16776315789,1124.855489302,1128.44337263308,1133.13413715147,1144.64482526882,1141.70683144525,1137.43483631872,1143.07261410788
1153.86666666667,1133.47813742192,1137.90455094644,1126.38349742147,1130.02466273187,1119.17417031129,1110.18856364874,1093.18752803948,1097.01165556613,1097.19861887537,1096.80430048993,1098.84069886948,1093.60089820359,1095.22951289398,1098.51188771126,1096.69727047146,1096.0459936361,1101.04284869976,1101.8134762634,1098.19521674141,1100.02371775867,1101.85559210526,1091.08496732026,1096.49471766849,1092.30289917785
1110.63804851458,1127.36467889908,1107.21341463415,1106.11588132635,1082.5411452408,1087.95913377576,1093.80260206371,1086.65419542317,1090.38688789964,1077.20519679022,1085.78471615721,1085.9341195608,1078.29292511378,1081.87259898079,1078.61794774707,1082.55021000382,1075.16597164304,1085.9271734183,1083.23851203501,1088.50138504155,1087.24538496173,1086.69551427277,1088.90216411181,1082.89672429481,1087.5670235546
1124.19349315068,1102.63373037358,1092.03220951234,1079.41259006447,1084.78168604651,1079.15071015255,1079.0338178582,1077.06362058994,1071.81984667802,1077.05984138428,1071.43090696769,1072.85954253038,1073.68962548429,1073.97338746053,1073.57650383528,1073.74152542373,1073.34292972058,1072.92548076923,1072.6399113082,1071.54328241285,1073.31356321839,1072.17965545529,1072.24481658692,1072.39329556185,1072.20551601423
1073.20063327576,1063.95734870317,1091.03629764065,1069.15174388339,1049.39838709677,1083.64782034346,1058.59004946174,1076.03638814016,1084.48869720405,1085.17929423975,1086.12288686606,1067.53396165096,1064.83043620859,1062.43633071817,1060.34901599016,1062.10474576271,1060.76299238663,1059.6129367001,1062.33211411851,1065.3300388281,1059.0549612689,1060.11243243243,1057.67887134699,1057.97749077491,1062.69702672187
1005.22015915119,1004.35257301808,971.367683429514,960.025925151578,971.059032258064,972.70288248337,967.36594336153,965.982149107455,974.538072897871,959.46732487071,964.075074086269,951.122289370779,957.23243045388,964.422644435828,962.107376691401,949.62578125,955.226244343891,960.357548701299,953.975806451613,957.08940397351,959.338113863538,961.048157453936,957.027498908774,954.040395358831,958.756828193833
911.625695216908,900.95197740113,891.570786516854,903.020979020979,883.816233929922,890.760194436943,891.984460196292,898.022678762006,886.050970075633,886.464792988818,887.71511627907,894.403145695364,901.10083234245,895.269736842105,896.488749345892,891.054138321995,890.254348445965,899.08337432366,895.191314837153,893.599538224731,897.622933141625,894.784691629956,895.127839945744,883.968025814022,897.492160872529
