Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37
23188,20748,18102,19772,18819,17492,18926,17316,17409,18719,19644,17428,16875,18493,18235,16048,17239,15588,17168,15452,13220,13423,13485,14309,13225,14387,13333,12996,14797,13575,14025,14741,15524,12492,12959,12705,10515
12104,10089,16636,12291,14746,15552,14334,11732,14985,14083,11317,12815,13659,13940,12938,13351,13146,12900,12839,12965,12457,12120,11236,11789,11042,9477,9015,9040,9421,11049,12323,13336,12177,12995,12890,12624,12572
17690,15230,15253,18361,19755,17787,20023,19442,15957,17405,16791,18419,18239,16887,17096,18644,15506,18588,15247,16702,18994,15531,14746,17273,18753,15411,13178,13727,17100,14801,14635,13720,12629,14151,14496,13591,11025
16967,13402,16967,13875,15026,15529,20263,18301,20023,18384,17134,15359,14938,14127,15378,16901,15720,19127,16914,16162,18385,15484,16490,14958,14709,15668,16650,16969,16798,16955,17034,14038,15441,17024,14140,18413,15965
10318,9741,9664,9972,9546,9646,10590,9266,9447,9429,10618,9735,9859,10412,9212,10110,10136,9906,9751,9887,9499,10108,9936,10417,9817,9699,9691,9609,8995,9612,9710,9335,9565,9567,10349,8972,9379
13835,12907,9785,11348,11902,12499,13131,11853,11567,12044,11470,10499,10053,9957,9547,9563,10241,9640,8610,8732,9588,8774,8995,9142,9495,9060,8570,8917,8160,8739,9585,9977,9242,8848,9026,8747,9392
12182,14513,12130,12618,14475,12895,13380,13487,12896,12860,12676,11367,10800,10726,10479,10896,11658,11566,9947,9922,10871,10616,10221,10838,11087,11440,10140,10484,11085,9850,10476,10761,10245,10822,10286,9572,11045
21103,16735,20242,21228,23689,21587,21965,23788,22485,22577,21825,19893,20434,19534,20869,18465,19609,20665,21619,21375,20828,20193,15681,17647,17986,20291,20113,16103,16654,15070,15273,20031,20629,14304,15096,14727,14186
12414,16473,14251,13710,10189,14339,12244,14442,12459,14947,13060,16937,13534,13515,15568,13321,11687,12072,11203,10211,9339,9736,11409,12519,12532,10137,11254,9850,10037,11010,11144,11731,12943,13013,11599,12006,13010
11506,12224,11892,13016,9433,10465,8925,11795,9582,9183,10274,9257,8908,9062,9303,8807,9411,7854,8059,9467,8309,8693,8984,8847,9188,8843,9694,9064,9338,8669,9242,9058,8379,8725,8696,9145,8180
11760,11226,14032,14515,14129,12031,13451,13509,13555,13201,14611,14030,11811,12866,15135,14042,14119,13309,14682,13809,13866,13809,13272,14248,12749,12292,13254,13760,14750,13365,13698,13488,13411,12972,12658,11638,11827
11731,9313,11740,12456,12403,10515,10065,9578,9594,10669,11574,10535,11212,11515,10455,12725,13281,12933,12572,12294,12706,12389,11586,12392,12145,14760,12747,13681,13767,12325,12991,11405,10790,10847,10989,10044,9920
12918,14509,12982,11962,12958,12599,14711,15758,14125,12766,12201,12092,12968,13705,13863,14517,14153,14338,16271,15835,16434,19239,19521,19587,20149,19167,17217,17088,20709,22721,23622,23045,23015,23239,19866,23672,23868
22319,23694,26521,25540,22650,21026,18567,19371,26797,18295,24600,21937,22278,22093,20298,20101,19196,18885,18895,19631,19284,17991,17086,18595,18303,18665,18800,19040,19390,19363,17648,17268,18749,17056,17620,18251,17677
20191,24122,16681,17388,16904,17731,16968,18175,16276,17921,13316,15045,15508,14562,15278,13630,13750,13933,13778,13729,15645,13914,14481,14185,14557,14113,14113,14803,10035,10118,10584,13263,13543,15233,12758,11593,10398
17501,18586,17871,18158,17622,16307,16689,16432,18504,17458,16200,16307,15207,15649,16489,17959,19459,19533,19472,21763,22471,21328,22274,20742,20936,19545,20765,20133,20843,22277,19378,17891,16659,16470,17534,16318,16404
14815,18713,16964,13490,16562,13711,18243,12943,16604,15054,18040,18060,14848,15487,14218,13485,13463,14360,15654,13514,13583,12949,12592,12006,11744,11914,12427,11535,11250,12258,12909,13108,13401,11997,13916,11358,12048
18754,12807,19231,23470,15239,19269,15617,15698,7782,8297,6734,7791,8285,8787,8657,8517,8971,8547,9456,10616,10442,13525,11484,9342,14304,11523,12082,11325,10605,12450,10772,8985,9852,9842,9278,9835,8913
31859,29011,21708,25208,26474,27587,28259,25105,20765,28716,23584,25724,22330,23997,22561,22005,22971,21851,21490,20541,20475,20907,18332,19012,19701,22519,22806,22410,22860,22062,20730,21788,21865,21695,22354,21035,20896
19358,19158,19805,18537,17857,18223,19826,18928,19563,20005,20907,20682,19122,17298,17588,17003,16269,14949,16325,16500,17222,15676,16714,16170,15581,13958,14282,11825,12308,11427,10467,11087,11521,11271,11446,10461,9897
14404,12472,14322,12976,13885,15014,13781,14103,13797,12942,12392,11842,11468,12253,11972,12418,12345,12749,12894,11829,12296,11109,10894,10692,9761,10804,9521,11585,9918,9589,8777,8727,7774,10808,6937,9994,8849
14630,13860,14557,11737,11648,11141,11884,7472,8339,8179,7092,7853,8604,9474,8642,10586,10605,10308,10970,9817,10936,9417,8948,9483,8364,14386,11922,8008,,,,,,,,,
6450,5945,6750,6250,4340,2250,6161,7719,6416,3186,2292,2002,6852,6719,6369,3042,3203,6190,7308,7363,8273,6488,3320,6326,6549,6726,7860,,,,,,,,,,
20895,17821,26794,23915,22862,19038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11657,13197,17646,14205,14347,14124,15381,14219,15520,14332,15127,15612,14642,17548,18705,11441,16005,16543,16804,15178,15485,15477,16889,16522,16328,16758,16257,17048,17220,17444,16193,,,,,,
8893,11417,7940,8829,7431,8380,8380,9043,8454,8551,9676,9884,10869,8695,7906,15712,8649,9198,11255,9666,10363,10364,9672,9135,9543,9557,8554,8278,8076,8060,11601,,,,,,
