Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25
312,910,423,1953,1541,796,732,1039,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,
571,761,440,304,745,1385,1270,90,98,1626,480,166,111,131,1462,107,1743,1493,1553,1750,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,
351,122,642,361,887,681,1260,1404,1080,1343,1175,1080,1262,897,655,1244,1458,1474,1290,,,,,,
168,764,766,825,832,837,750,781,834,805,879,878,858,850,833,882,890,879,841,,,,,,
276,174,,,,,,,,,,,,,,,,,,,,,,,
71,71,58,,,,,,,,,,,,,,,,,,,,,,
1624,1752,1959,1968,2378,2956,1512,1534,1351,1492,1436,1395,1455,1470,1509,1335,,,,,,,,,
1713,1471,2091,1787,893,841,871,898,894,892,834,812,796,873,862,821,,,,,,,,,
302,331,2084,170,216,183,97,199,160,147,122,321,858,92,406,99,,,,,,,,,
1179,1138,943,1137,1809,1740,967,422,333,192,254,148,134,157,142,238,,,,,,,,,
110,93,137,237,271,457,610,340,162,562,250,914,343,383,561,,,,,,,,,,
112,90,92,189,747,1649,604,1019,425,426,201,533,746,307,222,,,,,,,,,,
52,1760,89,182,948,130,148,123,317,74,157,46,71,92,79,,,,,,,,,,
219,200,48,,,,,,,,,,,,,,,,,,,,,,
313,117,476,115,43,211,88,272,69,66,265,163,117,41,,,,,,,,,,,
56,64,75,45,,,,,,,,,,,,,,,,,,,,,
2157,2176,2624,2410,2316,2710,2350,2422,2413,2385,,,,,,,,,,,,,,,
2555,2394,2636,2341,2523,2503,2503,2489,2704,2722,,,,,,,,,,,,,,,
127,98,43,,,,,,,,,,,,,,,,,,,,,,
86,1552,866,501,722,826,903,406,149,,,,,,,,,,,,,,,,
405,435,432,441,484,488,461,453,,,,,,,,,,,,,,,,,
387,333,468,41,,,,,,,,,,,,,,,,,,,,,
82,49,,,,,,,,,,,,,,,,,,,,,,,
182,562,636,710,725,166,,,,,,,,,,,,,,,,,,,
1378,468,422,86,266,241,,,,,,,,,,,,,,,,,,,
2694,2706,2964,2550,2739,,,,,,,,,,,,,,,,,,,,
2653,4664,2409,2299,1463,,,,,,,,,,,,,,,,,,,,
1744,1292,1873,1719,1322,,,,,,,,,,,,,,,,,,,,
1726,2154,1581,1898,2120,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,,,
77,45,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,
