Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37
118.696872493986,121.351324337831,127.688273423689,127.948918269231,131.786845310597,130.055014605648,133.581927710843,131.757097791798,127.497053045187,119.075718966145,117.157991992609,122.912340105342,123.803525365434,125.823749415615,130.218613669413,128.039615384615,127.289947089947,129.231941031941,123.733192537839,130.222437137331,132.221408450704,125.255813953488,133.185296646604,121.888239875389,125.157327586207,127.95624468989,127.164348274086,125.8651973347,122.333015267176,124.13704496788,122.198845983134,130.049601959584,122.080995475113,123.549130610594,127.361528553027,127.816844241502,125.812872975277
291.785497342445,289.348881304513,288.061934081854,285.57833655706,295.821656050955,293.164524421594,308.864530029626,308.20874471086,298.937472479084,298.689411764706,299.504180298073,293.41072768192,295.558221369162,286.43670411985,293.217027746104,300.233137829912,301.189050807404,288.03060829136,291.486906347093,288.019051651143,287.931844888367,281.563658838072,288.975609756098,279.56940874036,278.388418079096,283.326324642557,281.008904719501,284.06509357201,281.654271356784,279.384615384615,284.263713937424,278.645569620253,280.276923076923,283.851254480287,279.17583497053,280.788756388416,279.780045351474
365.420353982301,368.503337259521,369.346451159522,373.493969849246,371.499304589708,369.390476190476,370.547195622435,362.363554488142,371.182019159912,364.420577617329,361.332947530864,368.190395095368,357.0843605547,370.244382022472,370.138073584126,358.487684729064,365.85919214798,375.609420591913,370.975011155734,362.3220657277,374.409681227863,361.985062575696,367.036257833483,372.112930310663,366.937367752857,357.088952071487,374.085914911194,372.672804532578,368.608156737305,368.794561933535,356.046489563567,365.481162051748,356.123991935484,352.873658536585,375.48679245283,369.040692235734,363.12232096184
594.594862813777,597.430546825896,594.289769946158,588.916048237477,601.99498997996,598.077188940092,604.438666666667,598.387392241379,604.259385665529,590.267510167194,577.032653831635,597.058595909342,601.151905252317,600.680817610063,579.84203539823,579.280748663102,583.991371681416,597.878487848785,610.433506862281,605.908266666667,604.732152162585,597.263581488934,596.498610339077,600.631257631258,597.718730553827,590.182226211849,597.923891129032,596.235358511221,601.413333333333,604.793119266055,601.955589586524,608.886257928118,611.493827160494,607.501838986514,602.385193133047,597.720041322314,603.007064868337
966.223148765844,968.895327102804,970.364177489177,971.821046707935,973.195497630332,974.397110754414,973.763174404015,974.682202064435,975.479198767334,979.558055805581,975.937390286717,976.425959780622,978.532888754168,965.983379501385,974.622284295469,977.262789958691,977.60752688172,977.18607635547,975.934760448522,979.725816023739,977.340592334495,978.375535168196,975.2337118948,975.139456820262,976.876698369565,975.003225806452,973.320744237712,977.079360465116,976.063956963539,975.617610454263,973.831130204891,973.669739351557,975.93207007508,978.036828963795,976.043058239028,979.102751077229,981.723004694836
816.455651491366,819.600529100529,817.053539823009,817.11701170117,819.038422131148,818.339178785287,820.43740937651,821.217347453353,819.585754451734,818.479237909135,810.916857012334,814.316202090592,816.574415131906,817.456796628029,817.879909706546,823.753581661891,825.121532364597,816.870516185477,817.015341701534,818.39603960396,819.455539705183,820.466789667897,820.456510550695,822.649851632047,822.72972972973,817.64841233318,817.673602080624,817.175943396226,821.076180802438,821.362592288761,823.297532656023,818.899068322981,825.697124304267,822.452901998097,825.760377358491,822.806691449814,824.771235521236
396.990338164251,398.471786833856,400.724818959842,398.725421348315,397.220388921626,393.771182141045,396.337174044876,392.169029443839,388.533294048321,391.020915771622,391.593350383632,391.727773406766,395.534006376196,389.769740474876,388.380257009346,394.175061425061,390.706134969325,395.109607577808,393.533731343284,389.453658536585,386.351612903226,390.311797752809,390.03652173913,387.885698509111,389.144438587243,391.545504087193,393.730747290359,395.915766738661,393.2470657277,385.113308391235,385.628134556575,395.664031620553,396.790482076638,397.99421221865,395.721810089021,391.049353701528,393.520408163265
486.504158669226,483.583635763774,491.703560830861,499.669808705295,507.235194585448,511.113475177305,499.602288204849,510.527221526909,502.542231491137,510.728759217698,498.30966168851,497.371880492091,502.639092240117,495.50815394651,498.096579476861,495.379647749511,499.180543382997,502.339894019682,505.035103926097,500.396812080537,496.428571428571,505.529936305732,499.208933717579,497.433823529412,495.219273743017,499.350955131053,504.460696517413,502.948932219127,500.898279352227,504.755082284608,502.942202291978,500.106309420916,504.180555555556,502.311972180825,501.187919463087,496.674901185771,498.75052631579
558.625407166124,563.511147811726,561.695161290323,556.782347041123,550.569411764706,556.346336822074,559.472222222222,557.35685963521,557.527089072544,555.947166186359,556.954545454545,557.768903993203,557.127371273713,559.203125,560.110805860806,557.947665056361,558.46192893401,558.632585203658,559.738159070599,558.038200339559,558.594594594595,557.377450980392,550.825662482566,556.136403897254,549.998589562764,556.871591908531,556.299483648881,556.755119453925,548.855753646677,548.100378787879,569.84516765286,566.973451327434,569.474466109564,569.966820276498,548.43605870021,570.304307974335,570.428436911488
146.603739445115,151.226804123711,150.935610302352,151.88045540797,147.437804030577,152.032946918853,158.951467268623,154.962485345838,152.543093270366,149.668348045397,149.353204172876,144.381514940931,145.519972918077,147.058394160584,143.869728915663,146.28181212525,145.357142857143,152.473474044495,147.500286532951,148.890686001115,147.394451145959,144.801610120759,147.162774725275,145.370137299771,146.526382708201,149.771463866584,145.76233495483,139.848351648352,144.121335504886,149.745683930943,148.818181818182,149.763706563707,145.448879551821,143.574036511156,140.73904109589,143.70207253886,139.163234172387
