,imageName,cluster,ecc,sol,cmp,color,spd,per,cellSize
90,M2,0,0.459253098,0.945587259,0.859086093,r,0.225385042,0.7925648,17100
96,M2,0,0.608963205,0.918021398,0.798702349,r,0.188982229,0.23092539,13214
87,M2,1,0.673328148,0.689262473,0.464135941,g,0.373289594,0.105772216,16523
86,M2,2,0.779645875,0.907085816,0.715881769,b,0.171580592,0.132652745,7156
89,M2,2,0.736939581,0.942245588,0.784899548,b,0.24188805,0.635386833,12546
94,M2,2,0.758171455,0.946566524,0.780756045,b,0.24625757,0.488356239,13233
95,M2,2,0.889543374,0.91460769,0.61555114,b,0.43405113,0.489465427,15177
88,M2,3,0.92836802,0.86659112,0.540617422,m,0.280112426,0.110933526,16824
91,M2,3,0.880560362,0.623455993,0.395162543,m,0.402030723,0.11169213,14486
92,M2,3,0.908774712,0.816345571,0.464526441,m,0.262572908,0.210872428,17500
93,M2,3,0.952252654,0.604363363,0.29148918,m,0.745718437,0.152954975,16067
